,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
114,114.0,Taiwan,173931,23128.0,876.0,5.0,28721.0,929.0,144334.0,,7279.0,37.0,14936942.0,625084.0,23895881.0,137.0,27278.0,2.0,968.0,0.2,6040.0
115,115.0,Uganda,164069,,3596.0,,100205.0,,60268.0,2.0,3391.0,74.0,2612795.0,53994.0,48390164.0,295.0,13457.0,19.0,,,1245.0
116,116.0,El Salvador,162089,,4128.0,,150662.0,,7299.0,8.0,24761.0,631.0,1950448.0,297948.0,6546266.0,40.0,1586.0,3.0,,,1115.0
117,117.0,Ghana,161216,12.0,1445.0,,159737.0,25.0,34.0,1.0,4997.0,45.0,2438498.0,75582.0,32262860.0,200.0,22327.0,13.0,0.4,,1.0
118,118.0,Namibia,158874,63.0,4025.0,,153662.0,,1187.0,,60516.0,1533.0,1008685.0,384213.0,2625331.0,17.0,652.0,3.0,24.0,,452.0
119,119.0,Martinique,153253,,926.0,,104.0,,152223.0,8.0,408968.0,2471.0,828928.0,2212061.0,374731.0,2.0,405.0,0.0,,,406219.0
120,120.0,Trinidad and Tobago,148977,347.0,3838.0,5.0,136502.0,335.0,8637.0,18.0,105822.0,2726.0,708941.0,503579.0,1407805.0,9.0,367.0,2.0,246.0,4.0,6135.0
121,121.0,Brunei,142079,168.0,218.0,,141959.0,937.0,-98.0,,319160.0,490.0,717784.0,1612396.0,445166.0,3.0,2042.0,1.0,377.0,,-220.14
122,122.0,Guadeloupe,140130,,854.0,,2250.0,,137026.0,19.0,350106.0,2134.0,938039.0,2343633.0,400250.0,3.0,469.0,0.0,,,342351.0
123,123.0,Cambodia,136257,3.0,3056.0,,133144.0,28.0,57.0,,7948.0,178.0,2953579.0,172285.0,17143544.0,126.0,5610.0,6.0,0.2,,3.0
124,124.0,Jamaica,130388,89.0,2969.0,2.0,83763.0,74.0,43656.0,,43683.0,995.0,1006348.0,337148.0,2984886.0,23.0,1005.0,3.0,30.0,0.7,14626.0
125,125.0,Rwanda,129815,3.0,1459.0,,45522.0,,82834.0,,9587.0,108.0,5282265.0,390090.0,13541157.0,104.0,9281.0,3.0,0.2,,6117.0
126,126.0,Cameroon,119780,,1927.0,,117791.0,,62.0,13.0,4315.0,69.0,1751774.0,63109.0,27757944.0,232.0,14405.0,16.0,,,2.0
127,127.0,Angola,99194,,1900.0,,97149.0,,145.0,,2855.0,55.0,1499795.0,43170.0,34741212.0,350.0,18285.0,23.0,,,4.0
128,128.0,Malta,92150,175.0,702.0,2.0,87724.0,196.0,3724.0,4.0,207685.0,1582.0,1887959.0,4255025.0,443701.0,5.0,632.0,0.0,394.0,5.0,8393.0
129,129.0,DRC,87023,,1337.0,,50930.0,,34756.0,,920.0,14.0,846704.0,8955.0,94555007.0,1087.0,70722.0,112.0,,,368.0
130,130.0,Senegal,86007,2.0,1966.0,,84020.0,2.0,21.0,,4900.0,112.0,1070854.0,61006.0,17553251.0,204.0,8928.0,16.0,0.1,,1.0
131,131.0,Malawi,85790,,2634.0,,82069.0,3.0,1087.0,67.0,4282.0,131.0,574956.0,28695.0,20036661.0,234.0,7607.0,35.0,,,54.0
132,132.0,Ivory Coast,81959,2.0,799.0,,81123.0,11.0,37.0,,2972.0,29.0,1502805.0,54496.0,27576446.0,336.0,34514.0,18.0,0.07,,1.0
133,133.0,French Guiana,80859,,395.0,,11254.0,,69210.0,2.0,258433.0,1262.0,627211.0,2004625.0,312882.0,4.0,792.0,0.0,,,221202.0
134,134.0,Suriname,79393,57.0,1328.0,,49402.0,1.0,28663.0,,133148.0,2227.0,236066.0,395899.0,596278.0,8.0,449.0,3.0,96.0,,48070.0
135,135.0,Channel Islands,74642,259.0,171.0,2.0,73655.0,431.0,816.0,,422174.0,967.0,1252808.0,7085858.0,176804.0,2.0,1034.0,0.0,1465.0,11.0,4615.0
136,136.0,French Polynesia,72746,,648.0,,,,,7.0,256249.0,2283.0,,,283888.0,4.0,438.0,,,,135962.0
137,137.0,Barbados,71127,334.0,399.0,1.0,67374.0,712.0,3354.0,,246951.0,1385.0,652229.0,2264519.0,288021.0,4.0,722.0,0.0,1160.0,3.0,11645.0
138,138.0,Eswatini,70740,62.0,1397.0,,69000.0,31.0,343.0,11.0,59837.0,1182.0,1016234.0,859607.0,1182208.0,17.0,846.0,1.0,52.0,,290.0
139,139.0,Fiji,64646,,862.0,,62791.0,,993.0,,71167.0,949.0,508091.0,559346.0,908366.0,14.0,1054.0,2.0,,,1093.0
140,140.0,Madagascar,64181,,1391.0,,59370.0,,3420.0,14.0,2213.0,48.0,426220.0,14699.0,28996777.0,452.0,20846.0,68.0,,,118.0
141,141.0,Guyana,63491,7.0,1228.0,,62149.0,6.0,114.0,1.0,80012.0,1548.0,598855.0,754685.0,793517.0,12.0,646.0,1.0,9.0,,144.0
142,142.0,Sudan,62117,,4931.0,,,,,,1358.0,108.0,562941.0,12311.0,45727331.0,736.0,9273.0,81.0,,,369.0
143,143.0,New Caledonia,60749,166.0,312.0,,60231.0,129.0,206.0,9.0,209094.0,1074.0,98964.0,340627.0,290535.0,5.0,931.0,3.0,571.0,,709.0
144,144.0,Bhutan,59274,27.0,21.0,,58623.0,270.0,630.0,1.0,75297.0,27.0,2300918.0,2922914.0,787200.0,13.0,37486.0,0.0,34.0,,800.0
145,145.0,Mauritania,58695,1.0,982.0,,57696.0,1.0,17.0,,12043.0,201.0,804958.0,165159.0,4873830.0,83.0,4963.0,6.0,0.2,,3.0
146,146.0,Belize,57535,38.0,676.0,,56640.0,36.0,219.0,6.0,140031.0,1645.0,541382.0,1317642.0,410872.0,7.0,608.0,1.0,92.0,,533.0
147,147.0,Cabo Verde,56031,3.0,401.0,,55562.0,6.0,68.0,23.0,98808.0,707.0,400982.0,707113.0,567069.0,10.0,1414.0,1.0,5.0,,120.0
148,148.0,Syria,55829,4.0,3150.0,,52223.0,22.0,456.0,,3054.0,172.0,146269.0,8001.0,18280493.0,327.0,5803.0,125.0,0.2,,25.0
149,149.0,Gabon,47602,,304.0,,47285.0,,13.0,,20500.0,131.0,1593622.0,686293.0,2322072.0,49.0,7638.0,1.0,,,6.0
150,150.0,Papua New Guinea,43821,,650.0,,43133.0,,38.0,7.0,4733.0,70.0,249149.0,26912.0,9257967.0,211.0,14243.0,37.0,,,4.0
151,151.0,Seychelles,42474,,166.0,,41727.0,,581.0,,427029.0,1669.0,,,99464.0,2.0,599.0,,,,5841.0
152,152.0,Curaçao,42241,,274.0,,41612.0,,355.0,3.0,255504.0,1657.0,496693.0,3004361.0,165324.0,4.0,603.0,0.0,,,2147.0
153,153.0,Andorra,41349,,153.0,,40689.0,,507.0,14.0,533591.0,1974.0,249838.0,3224049.0,77492.0,2.0,506.0,0.0,,,6543.0
154,154.0,Burundi,40552,155.0,38.0,,773.0,,39741.0,,3234.0,3.0,345742.0,27571.0,12540281.0,309.0,330007.0,36.0,12.0,,3169.0
155,155.0,Mauritius,37697,6.0,990.0,,35962.0,,745.0,,29551.0,776.0,358675.0,281172.0,1275641.0,34.0,1289.0,4.0,5.0,,584.0
156,156.0,Mayotte,37363,,187.0,,2964.0,,34212.0,,131149.0,656.0,176919.0,621010.0,284889.0,8.0,1523.0,2.0,,,120089.0
157,157.0,Togo,36993,2.0,273.0,,36697.0,4.0,23.0,,4284.0,32.0,731261.0,84689.0,8634650.0,233.0,31629.0,12.0,0.2,,3.0
158,158.0,Guinea,36459,,440.0,,35976.0,,43.0,8.0,2645.0,32.0,660107.0,47882.0,13786163.0,378.0,31332.0,21.0,,,3.0
159,159.0,Aruba,34846,,212.0,,34516.0,,118.0,3.0,323854.0,1970.0,177885.0,1653237.0,107598.0,3.0,508.0,1.0,,,1097.0
160,160.0,Faeroe Islands,34658,,28.0,,7693.0,,26937.0,5.0,704374.0,569.0,778000.0,15811723.0,49204.0,1.0,1757.0,0.0,,,547455.0
161,161.0,Tanzania,33872,,803.0,,,,,7.0,539.0,13.0,,,62854783.0,1856.0,78275.0,,,,523.0
162,162.0,Bahamas,33601,19.0,798.0,,32374.0,6.0,429.0,,83973.0,1994.0,229817.0,574341.0,400140.0,12.0,501.0,2.0,47.0,,1072.0
